“他像风向标一样美丽，”一位市议员发表看法说，一心想附庸风雅，“只是不怎么有用处啊。”他找补一句说，生怕人们会认为他不讲究实 际，因为他的确是一个务实的人。 -
“哦！可我们见过，在梦里见过。”孩子们回答说；刻板的校长把眉头皱起来, 一脸的严肃，因为他很不赞成孩子做梦。 -
一天夜里，这城市飞来一只小燕子。  -
“我可以爱你吗？”燕子问道，他喜欢单刀直入，有话直说。芦苇听了深深点了一下头。 -
随后，秋天来了，他们都飞走了。 -
他们飞走后，他感到很孤单，渐渐对他的恋人儿厌倦了。 -
“你愿意和我走吗？”他最后和她说；可是芦苇摇了摇头，她恋家恋得难以割舍啊。 -
“我要飞往金字塔去了。再见吧！” 他说走就飞走了。 -
他飞了整整一天，天黑时分来到了这个城市。 -
“我到哪里去寄宿昵？”他心想，“但愿这城里事先有所准备才是。” -
芦苇一贯喜欢下雨, 可那完全是为了她自己。” -
“一尊大塑像连一点雨都遮挡不了，它还有什么用？”他发问说，“我只好去找一个好烟囱去躲躲了。”他决定飞走算了。 -
快乐王子的眼睛里唸满了泪水，泪水正顺着他那金脸颊往下流呢。 -
“我活着时，曾有一颗常人的心。塑像回答说，“我那时不知道泪水是什么，因为我生在逍遥宫里，忧愁是没法进那里的。 -
我就这样生活了一辈子，又这样死去了。 -
我死后，他们把我安置在这顶天立地的地儿，我一下看见了这城里的一切丑陋和苦难；虽然我的心是铅做的，可我还是忍不住哭泣啊。” -
“在远处，”塑像接着低声软语地说， -
“在远处一条小街上，有一所穷人住的房子。 -
房子的一扇窗户开着，我从窗子看见一个女人坐在桌子前面。她的脸又瘦又憔悴，一双手红红的，很粗糙，被针扎 得到处是针眼儿，因为她是做针线的女工。 -
在屋子角落的床上，她的小孩儿躺着生病。 -
小孩儿在发烧，口口声声要橘子吃。 -
可他母亲只能给他白开水喝，于是他就委屈得哭啊哭啊。 -
我的两只脚固定在这底座上了，我不能动啊。” -
“有人在埃及等我，燕子说， -
那个国王自己就在那里，躺在他的油漆棺材里。 -
他脖子上挂着一条链子，上面坠着一块浅绿色宝石，他的手干枯得像黄枯的树叶。 -
那个孩子渴坏了，可他的母亲干着急没办法啊。” -
“我想我不会喜欢小男孩儿，”燕子回答说， -
但是，快乐王子看上去难过极了，小燕子觉得很过意不去。 -
他飞过犹太居民区，看见那些上年纪的犹太人在互相讨价还价，用铜秤称钱。 -
最后他飞到了那户穷人家，向里看去。 -
那男孩儿在发烧，在床上来回翻身，他妈妈累得支撑不住，已经睡着了。 -
小燕子开始想事，很快就入睡了。 -
他一想事就要睡觉。 -
“多么奇怪的现象，”鸟类学教授走过桥时说， -
“大冬天还有燕子！ ” -
“燕子，燕子，小燕子啊，”王子说，“你不愿意再和我呆一个夜晚吗？” -
“有人在埃及等我呢，”燕子回答说， -
“明天我的朋友都会飞往‘第二大瀑布’了。 -
“燕子，燕子，小燕子啊，”王子说，“在这城市的远处，我看见一个年轻人住在阁子间。 -
